day,open,high,low,close,volume,stock
0,150.0,153.17243052298383,149.30111213635985,152.8106847913413,24117,AAPL
1,152.85856316107873,153.1978907962511,149.90201302807944,151.34318403700468,68149,AAPL
2,151.40240322702832,151.9130990351122,150.53950303559708,151.27551212571947,6669,AAPL
3,151.31428261102448,152.47465933139546,149.91457022984747,151.64904846064186,84808,AAPL
4,151.63799042603935,151.95075400711096,149.73709393748513,149.75208792755728,5198,AAPL
5,149.6196357214931,153.62539389541084,149.4940967452146,153.4800695198168,2838,AAPL
6,153.4560171705456,155.40549829169743,151.74080686385108,155.40549829169743,1674,AAPL
7,155.3875765351048,155.65710417896372,152.2375434357624,153.49940131371537,916,AAPL
8,153.56301978735826,155.2815752383061,153.43521040207634,155.10743766820232,88249,AAPL
9,155.26613768355747,155.57300265080633,150.42246722084323,150.42246722084323,43545,AAPL
10,150.41869833527784,152.0332948986063,148.86619385729367,151.2123353385435,102060,AAPL
11,151.25172749452264,153.20596249429798,151.25172749452264,152.33371016864112,2991,AAPL
12,152.34818915755602,155.0530122854043,151.54459427110805,152.29413273525594,67183,AAPL
13,152.26410673311346,158.99445670774816,152.22810840078077,158.70788529348593,3103,AAPL
14,158.79152287663325,163.53677883506361,158.4559975748199,163.23882989806688,10356,AAPL
15,163.1372360421438,163.54419737014177,159.47792780293057,159.47792780293057,2003,AAPL
16,159.35854990715103,162.10671934763087,158.94383373162273,161.37983715087162,99632,AAPL
17,161.42926318857099,162.50978469125246,160.7319689753336,161.72245038498235,78639,AAPL
18,161.79673296032246,162.6720873772439,159.15315317381408,159.49366989806262,4481,AAPL
19,159.51201085391733,161.03032153740904,157.3423213362601,159.62556017203121,4543,AAPL
20,159.79081221888592,161.44852950336295,159.50823777633627,160.8962545659249,2369,AAPL
21,160.80964912253842,164.2284704331177,160.49219732880812,162.9839343704408,2247,AAPL
22,162.97059076749096,164.5827658394511,162.07288359594793,163.68747140998926,2353,AAPL
23,163.7332438234015,164.87453925690247,162.0895128779199,162.89262657805077,2427,AAPL
24,162.8957946102222,164.44972778124017,161.0307019685204,161.36794348989088,19825,AAPL
25,161.33741504738344,161.33741504738344,158.26856642927876,158.8486039478828,15226,AAPL
26,158.8459893276445,160.4715598030933,158.10568951915582,160.36675531268446,6270,AAPL
27,160.59701874775578,161.27835517188913,157.60054855194588,157.8139929882449,87623,AAPL
28,157.7051564596608,160.34053951274987,157.57871563119292,160.242425045874,319,AAPL
