day,strategy,stock,profit
5,evolving,MSFT,6897632.097194157
5,evolving,DSM,9074211.981931085
5,evolving,SHOP,7156410.098608454
5,noise,AAPL,1327394.5485252175
5,noise,MSFT,1402322.3495040794
5,noise,DSM,1936039.9810652235
5,noise,SHOP,1917080.5674170149
5,arbitrage,AAPL,4563781.9506520415
5,arbitrage,MSFT,3813885.030081683
5,arbitrage,DSM,4685213.601275012
5,arbitrage,SHOP,4244883.0153570175
5,risk_averse,AAPL,3099811.546845023
5,risk_averse,MSFT,3893555.135157485
5,risk_averse,DSM,3586584.6111240904
5,risk_averse,SHOP,4544054.3091174
5,mean_reversion,AAPL,4562247.390480334
5,mean_reversion,MSFT,3848580.075840513
5,mean_reversion,DSM,4671025.538552438
5,mean_reversion,SHOP,4315843.948412134
5,contrarian,AAPL,1242993.7390814014
5,contrarian,MSFT,1051002.8861535562
5,contrarian,DSM,1214498.169051899
5,contrarian,SHOP,1149567.1154928782
5,hft,AAPL,14885.233665542924
5,hft,MSFT,14777.519489871629
5,hft,DSM,13399.837015759653
5,hft,SHOP,11779.514887149244
6,momentum,AAPL,7231116.26163764
6,momentum,MSFT,5097160.537192576
6,momentum,DSM,1518373.2214818413
6,momentum,SHOP,5443278.567635728
6,evolving,AAPL,9494025.53871837
6,evolving,MSFT,6895818.31578554
6,evolving,DSM,2061820.5947983924
6,evolving,SHOP,7214354.249409444
6,noise,AAPL,1083983.7339088928
6,noise,MSFT,1402338.9980087697
6,noise,DSM,2756902.2783133266
6,noise,SHOP,1933604.316921542
6,arbitrage,AAPL,4621226.526154015
6,arbitrage,MSFT,3812882.141892652
6,arbitrage,DSM,4641165.498553978
6,arbitrage,SHOP,4279253.06097842
6,risk_averse,AAPL,3138829.0460091187
6,risk_averse,MSFT,3892531.2971478463
6,risk_averse,DSM,3552865.284576098
6,risk_averse,SHOP,4580846.690284425
6,mean_reversion,AAPL,4619672.650388664
6,mean_reversion,MSFT,3847568.0643424876
6,mean_reversion,DSM,4627110.8251061365
6,mean_reversion,SHOP,4350788.551800528
6,contrarian,AAPL,1258639.3699343796
6,contrarian,MSFT,1050726.5174710096
6,contrarian,DSM,12416210.849900095
6,contrarian,SHOP,1158874.9513181201
6,hft,AAPL,15072.594923905166
6,hft,MSFT,14002.83535937677
6,hft,DSM,44974.95503309388
6,hft,SHOP,9156.54282522965
7,momentum,AAPL,7199034.367631352
7,momentum,MSFT,5104677.87359854
7,momentum,DSM,1535529.618662574
7,momentum,SHOP,5408481.958960495
7,evolving,AAPL,9470384.993306162
7,evolving,MSFT,6934088.393995192
7,evolving,DSM,2085117.5105627659
7,evolving,SHOP,7168235.892881838
7,noise,AAPL,930591.8999113956
7,noise,MSFT,1058035.8594225957
7,noise,DSM,2816953.8010988976
7,noise,SHOP,1914846.5538347745
7,arbitrage,AAPL,4566964.208476066
7,arbitrage,MSFT,3725089.4789635404
7,arbitrage,DSM,4693606.9388719555
7,arbitrage,SHOP,4251897.5816776985
7,risk_averse,AAPL,3101972.9997046445
7,risk_averse,MSFT,3802904.690451323
7,risk_averse,DSM,3593009.807075238
7,risk_averse,SHOP,4551563.248751433
7,mean_reversion,AAPL,4565428.578278188
7,mean_reversion,MSFT,3758976.7484824155
7,mean_reversion,DSM,4679393.458909019
7,mean_reversion,SHOP,4322975.775955157
7,contrarian,AAPL,1243860.4602776011
7,contrarian,MSFT,1016618.0855662044
7,contrarian,DSM,12556504.054368518
7,contrarian,SHOP,1151466.747294848
7,hft,AAPL,14895.61291937375
7,hft,MSFT,13680.416213174707
7,hft,DSM,17214.103510667737
7,hft,SHOP,15210.733575376442
8,momentum,AAPL,2452273.378574105
8,momentum,MSFT,5242735.298268712
8,momentum,DSM,1542058.6237088037
8,momentum,SHOP,5254747.263231524
8,evolving,AAPL,3137618.1103093266
